order_number,order_quantity,product_price,order_line_number,sales,order_date,days_since,order_status,product_line,product_msrp,product_code,customer_name,phone,address,city,postal_code,country,contact_last_name,contact_first_name,deal_size
10107,30,95.7,2,2871,2018-02-24,828,Shipped,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Small
10121,34,81.35,5,2765,2018-05-07,757,Shipped,Motorcycles,95,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,51100,France,Henriot,Paul,Small
10134,41,94.74,2,3884,2018-07-01,703,Shipped,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Medium
10145,45,83.26,6,3746,2018-08-25,649,Shipped,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,Medium
10168,36,96.66,1,3479,2018-10-28,586,Shipped,Motorcycles,95,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium
10180,29,86.13,9,2497,2018-11-11,573,Shipped,Motorcycles,95,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,59000,France,Rance,Martine,Small
10188,48,114.84,1,5512,2018-11-18,567,Shipped,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Medium
10211,41,114.84,14,4708,2019-01-15,510,Shipped,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France,Perrier,Dominique,Medium
10223,37,107.18,1,3965,2019-02-20,475,Shipped,Motorcycles,95,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Medium
10237,23,101.44,7,2333,2019-04-05,432,Shipped,Motorcycles,95,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Small
10251,28,113.88,2,3188,2019-05-18,390,Shipped,Motorcycles,95,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,USA,Brown,William,Medium
10263,34,108.14,2,3676,2019-06-28,350,Shipped,Motorcycles,95,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA,King,Julie,Medium
10275,45,92.83,1,4177,2019-07-23,326,Shipped,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Medium
10285,36,113.88,6,4099,2019-08-27,292,Shipped,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Medium
10299,23,112.93,9,2597,2019-09-30,259,Shipped,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Small
10309,41,107.18,5,4394,2019-10-15,245,Shipped,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
10318,46,94.74,1,4358,2019-11-02,228,Shipped,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Medium
10329,42,104.67,1,4396,2019-11-15,216,Shipped,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium
10341,41,188.73,9,7737,2019-11-24,208,Shipped,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Large
10361,20,72.55,13,1451,2019-12-17,186,Shipped,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small
10375,21,34.91,12,733,2020-02-03,139,Shipped,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Small
10388,42,76.36,4,3207,2020-03-03,111,Shipped,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Medium
10403,24,101.44,7,2434,2020-04-08,76,Shipped,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Small
10417,66,113.88,2,7516,2020-05-13,42,Disputed,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Large
10103,26,207.87,11,5404,2018-01-29,878,Shipped,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
10112,29,248.59,1,7209,2018-03-24,825,Shipped,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden,Berglund,Christina,Large
10126,38,192.87,11,7329,2018-05-28,761,Shipped,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain,Sommer,Mart¡n,Large
10140,37,199.3,11,7374,2018-07-24,705,Shipped,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Large
